"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";"SUPPLIER";
"+9";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"+9R";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"+9S";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"C1";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C2";"100p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C3";"330p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C4";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C5";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C6";"47n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C7";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C8";"47n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C9";"1n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C10";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C11";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C12";"470p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C13";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C14";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C15";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C16";"1000u";"CPOL-USE3.5-10";"E3,5-10";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C17";"1000u";"CPOL-USE3.5-10";"E3,5-10";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C18";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"D1";"1N4148WS";"1N4148WS";"SODFL2512X100N";"1N4148WS Series 75 V 300 mA Surface Mount Small Signal Diodes - SOD-323F Check availability";"In Stock";" Diode Standard 75V 300mA (DC) Surface Mount SOD-323 ";"";"";"";"ON Semiconductor";"";"";"1N4148WS";"";"";"";"SOD-323FL-2 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/1N4148WS/?ref=eda";"";"";
"D2";"1N4148WS";"1N4148WS";"SODFL2512X100N";"1N4148WS Series 75 V 300 mA Surface Mount Small Signal Diodes - SOD-323F Check availability";"In Stock";" Diode Standard 75V 300mA (DC) Surface Mount SOD-323 ";"";"";"";"ON Semiconductor";"";"";"1N4148WS";"";"";"";"SOD-323FL-2 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/1N4148WS/?ref=eda";"";"";
"D3";"1N4148WS";"1N4148WS";"SODFL2512X100N";"1N4148WS Series 75 V 300 mA Surface Mount Small Signal Diodes - SOD-323F Check availability";"In Stock";" Diode Standard 75V 300mA (DC) Surface Mount SOD-323 ";"";"";"";"ON Semiconductor";"";"";"1N4148WS";"";"";"";"SOD-323FL-2 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/1N4148WS/?ref=eda";"";"";
"D4";"1N4148WS";"1N4148WS";"SODFL2512X100N";"1N4148WS Series 75 V 300 mA Surface Mount Small Signal Diodes - SOD-323F Check availability";"In Stock";" Diode Standard 75V 300mA (DC) Surface Mount SOD-323 ";"";"";"";"ON Semiconductor";"";"";"1N4148WS";"";"";"";"SOD-323FL-2 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/1N4148WS/?ref=eda";"";"";
"D5";"1N4148WS";"1N4148WS";"SODFL2512X100N";"1N4148WS Series 75 V 300 mA Surface Mount Small Signal Diodes - SOD-323F Check availability";"In Stock";" Diode Standard 75V 300mA (DC) Surface Mount SOD-323 ";"";"";"";"ON Semiconductor";"";"";"1N4148WS";"";"";"";"SOD-323FL-2 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/1N4148WS/?ref=eda";"";"";
"GND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"G_GND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"HAR";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"IC1";"TL062D";"TL062D";"SO08";"OP AMP";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"IC2";"TL064D";"TL064D";"SO14";"OP AMP";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"LI";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"LK";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"LO";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"POT1";"100k";"TRIMMER";"TRIM1";"Trimpots";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"MMBF5457";"MMBF5457";"SOT96P237X111-3N";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"1.11mm";"onsemi";"MMBF5457";"";"512-MMBF5457";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/MMBF5457?qs=ljbEvF4DwONFsVNWUpfPPg%3D%3D";"";"";"";"";"";"";"";"";"";"";
"Q2";"MMBT3906";"MMBT3906LT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";
"Q3";"MMBT3906";"MMBT3906LT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";
"Q4";"MMBT3906";"MMBT3906LT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";
"Q5";"IRF740";"IRF740";"TO220BV";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"Q6";"IRF740";"IRF740";"TO220BV";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"R1";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R2";"1M";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R3";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R4";"1M";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R5";"33k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R6";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R7";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R8";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R9";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R10";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R11";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R12";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R13";"3k3";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R14";"20k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R15";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R16";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R17";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R18";"3k3";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R19";"47R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R20";"1M";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R21";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R22";"47R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R23";"20k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R24";"47R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R25";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R26";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R27";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R28";"3k3";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R29";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R30";"3k3";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"R31";"47R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"T1";"MMBT3904";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"T2";"MMBT3904";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"T3";"MMBT3904";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"U1";"LM393DG";"LM393DG";"SOIC127P600X175-8N";"Low Offset Voltage Dual Comparators";"";"";"";"";"";"";"";"";"";"LM393DG";"1343575";"88H4661";"SOIC-8";"";"";"";"";"ON SEMICONDUCTOR";
"X+";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"X-";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
